Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,latitude,longitude,price
115.0,3.0,2.0,1,5.0,3,0.0,40.7010052,29.8554841,2.55
100.0,2.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,3.1
140.0,3.0,2.0,1,5.0,3,0.0,40.71265229999999,29.9408065,3.95
300.0,6.0,2.0,3,4.0,2,1.0,40.7147344,29.9538172,32.5
120.0,3.0,2.0,2,0.0,3,0.0,40.7548512,30.0361888,2.985
90.0,2.0,2.0,1,16.0,3,0.0,40.6953781,29.8222085,1.645
180.0,5.0,5.0,1,3.0,5,0.0,40.8361956,29.3787483,3.0
80.0,2.0,3.0,1,4.0,3,1.0,40.7438656,30.0463012,2.225
110.0,3.0,2.0,1,5.0,5,0.0,40.7921818,29.436795,2.28
135.0,3.0,3.0,2,0.0,3,0.0,40.7653053,29.7961611,2.825
140.0,3.0,2.0,2,5.0,3,1.0,40.7147344,29.9538172,10.5
179.0,3.0,2.0,1,0.0,3,0.0,40.7604584,29.8091854,3.4
110.0,2.0,3.0,1,11.0,3,1.0,40.77684319999999,29.7512903,2.6
110.0,2.0,4.0,1,4.0,5,0.0,40.71265229999999,29.9408065,2.37
100.0,3.0,2.0,1,0.0,3,0.0,40.7896467,29.3918108,3.45
130.0,3.0,1.0,2,0.0,3,0.0,40.7147344,29.9538172,4.3
155.0,4.0,2.0,2,0.0,2,0.0,40.7365963,30.0231861,7.9
139.0,1.0,2.0,0,16.0,4,0.0,40.8184455,29.4382459,12.0
85.0,2.0,2.0,1,21.0,4,0.0,40.7659429,29.7570809,1.85
77.0,2.0,3.0,1,11.0,6,1.0,40.6726092,29.89019789999999,1.85
125.0,3.0,2.0,1,21.0,3,0.0,40.7659429,29.7570809,3.25
100.0,2.0,2.0,1,4.0,3,0.0,40.7757606,29.7223337,2.25
270.0,5.0,2.0,3,11.0,4,0.0,40.77684319999999,29.7512903,4.945
125.0,3.0,3.0,1,5.0,3,0.0,40.7659429,29.7570809,3.1
80.0,2.0,2.0,1,0.0,3,0.0,40.7617966,29.3918108,2.75
125.0,3.0,2.0,1,21.0,3,0.0,40.7659429,29.7570809,2.545
94.0,2.0,1.0,1,5.0,3,0.0,40.753727,29.7961611,3.0
120.0,2.0,3.0,1,2.0,3,0.0,40.7711951,29.9241801,2.7
100.0,3.0,4.0,2,5.0,5,0.0,40.77345750000001,29.4498523,4.5
125.0,3.0,2.0,1,21.0,4,0.0,40.7659429,29.7570809,2.12
220.0,4.0,2.0,2,5.0,2,1.0,40.670517,29.9220112,12.75
60.0,1.0,2.0,1,0.0,3,0.0,40.7617966,29.3918108,2.145
77.0,3.0,2.0,1,11.0,13,1.0,40.7804258,29.9465892,1.9
182.0,4.0,6.0,2,0.0,6,0.0,40.800946,29.995282,6.844
112.0,3.0,2.0,2,0.0,3,0.0,40.683793,29.851405,3.85
137.0,4.0,4.0,2,2.0,4,1.0,40.7064933,29.9827252,4.995
110.0,3.0,2.0,1,0.0,4,0.0,40.758402,30.0116271,2.2
100.0,3.0,2.0,2,2.0,3,0.0,40.7188846,29.7780698,4.25
107.0,3.0,5.0,1,21.0,5,0.0,40.7160544,29.8330601,1.58
80.0,2.0,2.0,1,16.0,4,1.0,40.6955201,29.8135266,1.675
117.0,2.0,1.0,2,3.0,4,1.0,40.7387377,30.0723009,3.6
85.0,2.0,2.0,1,21.0,6,0.0,40.778778,29.9523716,1.63
85.0,2.0,3.0,2,0.0,6,0.0,40.800946,29.995282,3.8
75.0,2.0,2.0,1,1.0,1,0.0,41.18400099999999,30.287269,3.1
80.0,1.0,2.0,1,0.0,4,1.0,40.7438656,30.0463012,3.3
150.0,3.0,2.0,2,5.0,4,1.0,40.7064933,29.9827252,3.926
110.0,3.0,2.0,1,0.0,4,0.0,40.6944072,29.9682719,2.9
87.0,2.0,2.0,1,0.0,3,0.0,40.793316,29.9581538,2.75
60.0,2.0,2.0,1,0.0,1,0.0,40.950699,29.908477,3.55
103.0,3.0,1.0,2,0.0,6,0.0,40.800946,29.995282,4.5
95.0,1.0,2.0,1,0.0,3,0.0,40.7042886,29.8439109,3.95
160.0,3.0,1.0,1,21.0,4,0.0,40.7625464,29.9118896,1.36
110.0,2.0,2.0,1,0.0,3,0.0,40.71265229999999,29.9408065,2.4
140.0,4.0,2.0,2,0.0,3,1.0,41.187255,30.255321,4.75
125.0,3.0,5.0,1,11.0,5,1.0,40.7905943,29.7599761,2.5
140.0,3.0,3.0,1,0.0,3,0.0,40.71265229999999,29.9408065,3.25
55.0,1.0,2.0,1,0.0,5,0.0,40.7106363,29.8337835,1.65
80.0,2.0,1.0,1,0.0,4,0.0,40.8283772,29.3860054,2.95
50.0,1.0,2.0,1,5.0,3,0.0,40.8231961,29.3671362,2.05
90.0,3.0,2.0,1,5.0,4,0.0,40.8106236,29.4455,2.28
77.0,2.0,1.0,1,0.0,4,0.0,41.0720634,30.1355413,1.99
85.0,2.0,1.0,1,0.0,4,0.0,40.8188859,29.403421,3.0
75.0,2.0,4.0,1,21.0,4,0.0,40.7672137,29.9523716,1.55
140.0,3.0,2.0,2,5.0,3,1.0,40.7042886,29.8439109,2.85
75.0,2.0,2.0,1,3.0,3,1.0,40.81542,29.929028,2.7
140.0,4.0,2.0,3,1.0,4,0.0,40.7147344,29.9538172,3.1
85.0,2.0,2.0,1,5.0,4,0.0,40.8117542,29.3540715,2.35
80.0,2.0,2.0,1,0.0,3,0.0,40.7147344,29.9538172,2.1
100.0,3.0,1.0,1,21.0,5,1.0,40.7634588,29.85982379999999,1.675
65.0,1.0,6.0,1,21.0,6,0.0,40.7690192,29.9379151,1.15
300.0,5.0,4.0,2,16.0,5,0.0,40.7659429,29.7570809,6.25
165.0,2.0,2.0,2,16.0,5,0.0,40.7747821,29.9176735,2.225
140.0,3.0,2.0,1,5.0,3,0.0,40.7665482,29.9465892,2.9
35.0,1.0,2.0,1,0.0,4,0.0,40.81542,29.929028,1.499
90.0,2.0,2.0,1,5.0,4,0.0,40.8069074,29.4338932,3.25
70.0,2.0,4.0,1,21.0,5,0.0,40.8670847,29.3801998,1.549
90.0,1.0,1.0,2,5.0,4,0.0,40.7665482,29.9465892,2.6
220.0,4.0,2.0,2,11.0,3,1.0,40.771117,29.9285176,6.0
80.0,2.0,2.0,1,0.0,4,1.0,40.7365963,30.0231861,2.25
135.0,3.0,2.0,2,0.0,4,1.0,40.6944072,29.9682719,3.75
240.0,5.0,6.0,6,5.0,6,0.0,40.8069074,29.4338932,6.2
55.0,1.0,1.0,1,1.0,4,0.0,40.7766241,29.9436979,1.45
72.0,2.0,3.0,1,0.0,3,1.0,40.697935,29.9436979,2.85
100.0,3.0,2.0,2,0.0,3,0.0,40.7074291,29.9306863,5.15
110.0,3.0,8.0,1,16.0,8,1.0,40.7766241,29.9436979,2.49
167.0,4.0,2.0,2,3.0,5,0.0,40.7147344,29.9538172,3.999
200.0,4.0,8.0,3,0.0,8,1.0,40.800946,29.995282,7.25
95.0,2.0,2.0,1,0.0,4,0.0,40.7807635,29.7947139,2.875
70.0,1.0,2.0,1,0.0,3,0.0,40.7438656,30.0463012,1.775
115.0,3.0,2.0,1,0.0,3,0.0,40.7387377,30.0723009,2.95
165.0,4.0,2.0,1,5.0,4,0.0,40.7130973,29.8251023,2.78
85.0,2.0,2.0,1,0.0,3,0.0,40.7812258,29.384554,2.63
100.0,3.0,4.0,2,21.0,4,1.0,40.7617966,29.3918108,3.0
127.0,3.0,2.0,1,11.0,8,0.0,40.7711951,29.9241801,2.65
175.0,4.0,2.0,1,4.0,4,0.0,40.7625974,29.7730038,3.25
200.0,4.0,2.0,3,0.0,2,0.0,40.72833540000001,30.0520793,8.5
120.0,3.0,1.0,1,5.0,5,1.0,40.7905943,29.7599761,2.4
200.0,3.0,1.0,1,3.0,2,0.0,40.7679064,29.7787935,3.95
120.0,3.0,2.0,1,11.0,5,0.0,40.7905943,29.7599761,2.0
104.0,2.0,1.0,1,5.0,4,0.0,40.753727,29.7961611,2.6
160.0,3.0,1.0,2,4.0,5,1.0,40.7659429,29.7570809,5.35
190.0,3.0,3.0,1,2.0,3,0.0,40.7502682,29.7715563,2.995
374.0,1.0,2.0,0,5.0,3,0.0,40.885772,29.782312,2.95
120.0,3.0,2.0,1,5.0,5,1.0,40.7905943,29.7599761,2.12
120.0,3.0,3.0,1,5.0,5,1.0,40.7905943,29.7599761,2.35
120.0,3.0,1.0,1,5.0,5,1.0,40.7905943,29.7599761,2.5
105.0,2.0,4.0,1,11.0,4,1.0,40.7905943,29.7599761,1.85
120.0,3.0,2.0,1,16.0,3,0.0,40.6843433,29.9263488,2.5
110.0,3.0,2.0,1,5.0,3,0.0,40.7740571,29.8265492,2.2
170.0,4.0,4.0,1,5.0,4,0.0,40.8228769,29.3932622,3.45
140.0,3.0,5.0,1,16.0,13,0.0,40.7766469,29.9841704,4.3
120.0,3.0,5.0,2,11.0,5,0.0,40.8176435,29.3787483,3.1
100.0,2.0,2.0,1,0.0,4,0.0,40.8228769,29.3932622,2.27
80.0,2.0,3.0,1,11.0,5,0.0,40.7669386,29.3973465,2.4
90.0,2.0,1.0,1,11.0,3,0.0,40.7757606,29.7223337,2.75
129.0,1.0,2.0,0,21.0,2,0.0,40.8283772,29.3860054,3.15
200.0,4.0,2.0,2,0.0,3,0.0,40.7764794,29.3932622,4.19
161.0,4.0,2.0,2,5.0,2,0.0,40.6896527,29.8873054,3.5
125.0,3.0,2.0,1,0.0,2,0.0,40.7147344,29.9538172,3.35
85.0,2.0,2.0,2,0.0,4,0.0,40.7147344,29.9538172,2.65
200.0,4.0,4.0,2,0.0,4,0.0,40.8361956,29.3787483,3.55
108.0,3.0,1.0,1,0.0,3,0.0,40.7365963,30.0231861,3.5
105.0,3.0,2.0,2,0.0,3,0.0,40.8283772,29.3860054,3.15
123.0,4.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,4.6
10.0,3.0,1.0,1,4.0,3,1.0,40.7659429,29.7570809,3.3
150.0,3.0,3.0,2,0.0,3,0.0,40.7147344,29.9538172,3.35
104.0,3.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,4.1
118.0,4.0,1.0,1,0.0,3,0.0,40.7365963,30.0231861,4.55
90.0,2.0,2.0,1,0.0,5,0.0,40.71265229999999,29.9408065,2.65
87.0,3.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,3.5
81.0,2.0,3.0,1,0.0,6,0.0,40.8184455,29.4382459,2.8
111.0,3.0,3.0,1,0.0,3,0.0,40.7365963,30.0231861,4.1
85.0,2.0,2.0,1,21.0,4,0.0,40.8176435,29.3787483,1.19
145.0,3.0,2.0,1,4.0,3,0.0,40.7659429,29.7570809,3.75
89.0,2.0,2.0,1,0.0,3,1.0,40.7365963,30.0231861,1.999999
55.0,1.0,2.0,1,11.0,4,1.0,40.795564,29.883291,1.49
79.0,2.0,2.0,1,0.0,3,0.0,40.7387377,30.0723009,1.899999
200.0,3.0,2.0,1,11.0,1,0.0,40.7548512,30.0361888,3.5
90.0,2.0,2.0,1,4.0,4,0.0,40.8231961,29.3671362,2.48
120.0,3.0,1.0,1,5.0,4,0.0,40.7634588,29.85982379999999,2.55
130.0,3.0,4.0,1,21.0,6,0.0,40.7593509,29.8742885,3.75
125.0,3.0,2.0,1,11.0,3,0.0,40.7532944,29.8222085,2.66
75.0,2.0,2.0,2,0.0,3,0.0,40.7064933,29.9827252,2.5
170.0,4.0,2.0,3,1.0,3,0.0,40.7010052,29.8554841,3.75
130.0,3.0,1.0,2,2.0,4,0.0,40.7365963,30.0231861,3.65
95.0,2.0,4.0,1,2.0,4,0.0,40.8359257,29.4005185,2.45
75.0,2.0,2.0,1,0.0,7,0.0,40.800946,29.995282,2.95
750.0,8.0,2.0,6,21.0,3,0.0,40.6832909,29.633274,27.0
95.0,3.0,2.0,1,0.0,4,0.0,40.8188859,29.403421,2.975
80.0,2.0,3.0,1,0.0,4,0.0,40.7147344,29.9538172,2.65
70.0,2.0,4.0,1,21.0,4,0.0,40.8055082,29.4222855,1.257
110.0,3.0,3.0,2,5.0,3,0.0,40.7365963,30.0231861,2.25
120.0,3.0,3.0,1,21.0,3,0.0,40.7726069,29.9314092,1.35
95.0,2.0,2.0,1,11.0,3,0.0,40.77316889999999,29.9639357,2.985
79.0,2.0,2.0,1,0.0,4,0.0,40.7147344,29.9538172,1.999999
90.0,2.0,2.0,1,5.0,4,0.0,40.7812258,29.384554,2.395
140.0,3.0,2.0,1,0.0,3,0.0,40.6944072,29.9682719,3.225
85.0,3.0,3.0,1,0.0,4,1.0,40.813718,29.951476,2.85
170.0,4.0,3.0,2,0.0,3,0.0,40.6896527,29.8873054,4.6
130.0,3.0,2.0,1,0.0,2,0.0,40.7438656,30.0463012,3.25
90.0,2.0,3.0,1,0.0,5,0.0,40.71265229999999,29.9408065,2.7
100.0,3.0,2.0,1,16.0,3,1.0,40.697935,29.9436979,1.875
110.0,2.0,1.0,1,11.0,5,0.0,40.7806769,29.3656846,2.75
55.0,1.0,2.0,1,11.0,4,0.0,40.7669386,29.3973465,2.0
110.0,3.0,2.0,1,5.0,3,1.0,40.753727,29.7961611,2.475
90.0,2.0,4.0,1,5.0,5,1.0,40.770276,29.987535,2.2
90.0,2.0,1.0,1,11.0,3,0.0,40.7947045,29.3569749,2.0
130.0,3.0,2.0,1,5.0,3,0.0,40.77316889999999,29.9639357,3.35
90.0,2.0,3.0,1,21.0,3,0.0,40.7685945,29.9079131,4.8
110.0,3.0,5.0,1,21.0,5,0.0,40.7634588,29.85982379999999,1.55
98.0,3.0,2.0,1,21.0,3,0.0,40.7645032,29.8439109,2.25
75.0,2.0,1.0,1,5.0,3,0.0,40.77521369999999,29.9364694,2.05
120.0,3.0,2.0,2,0.0,3,0.0,40.7548512,30.0361888,2.49
105.0,2.0,1.0,1,0.0,3,0.0,40.7365963,30.0231861,2.7
130.0,3.0,2.0,2,0.0,3,1.0,40.7365963,30.0231861,6.4
110.0,3.0,2.0,2,0.0,3,0.0,40.7365963,30.0231861,2.5
100.0,3.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,2.95
130.0,3.0,3.0,2,0.0,3,0.0,40.7365963,30.0231861,3.6
110.0,3.0,1.0,1,0.0,3,1.0,40.7365963,30.0231861,2.9
120.0,2.0,2.0,2,0.0,3,0.0,40.758402,30.0116271,2.7
130.0,3.0,2.0,1,0.0,2,0.0,40.7520434,30.0217413,2.7
95.0,2.0,2.0,2,1.0,3,0.0,40.7365963,30.0231861,2.4
55.0,1.0,2.0,1,0.0,4,1.0,40.7548512,30.0361888,1.8
100.0,2.0,2.0,1,1.0,3,1.0,40.7365963,30.0231861,2.4
90.0,2.0,2.0,1,0.0,4,0.0,40.73142989999999,30.13006009999999,2.911
105.0,2.0,4.0,1,0.0,4,1.0,40.7548512,30.0361888,2.35
80.0,3.0,3.0,2,0.0,3,1.0,40.7264202,29.9899512,2.86
135.0,3.0,2.0,2,0.0,4,1.0,40.7147344,29.9538172,3.1
80.0,2.0,2.0,1,1.0,2,1.0,40.7365963,30.0231861,2.0
145.0,3.0,3.0,2,0.0,4,1.0,40.7147344,29.9538172,3.3
120.0,3.0,2.0,2,5.0,3,0.0,40.7548512,30.0361888,2.425
55.0,1.0,2.0,1,0.0,4,1.0,40.7548512,30.0361888,1.83
90.0,2.0,2.0,1,0.0,4,1.0,40.7548512,30.0361888,3.5
85.0,2.0,2.0,1,0.0,4,0.0,40.7548512,30.0361888,3.4
61.0,2.0,1.0,1,0.0,3,0.0,40.7387377,30.0723009,2.1
112.0,3.0,6.0,2,4.0,12,1.0,40.8257564,29.4701613,4.75
150.0,3.0,2.0,2,11.0,2,1.0,40.7008827,30.1156226,6.89
60.0,2.0,2.0,1,0.0,3,0.0,40.7438656,30.0463012,1.51
110.0,3.0,2.0,2,0.0,3,0.0,40.7400611,30.0029572,2.75
96.0,3.0,2.0,2,0.0,3,0.0,40.7387377,30.0723009,2.63
125.0,3.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,2.599999
119.0,3.0,3.0,1,0.0,3,0.0,40.7548512,30.0361888,2.299999
110.0,3.0,3.0,1,21.0,4,0.0,40.7659429,29.7570809,2.4
20.0,1.0,2.0,1,0.0,1,0.0,40.7857558,29.4556552,0.0695
118.0,3.0,4.0,1,21.0,7,0.0,40.7683026,29.9769441,4.0
90.0,2.0,2.0,1,1.0,4,1.0,40.7147344,29.9538172,3.75
105.0,2.0,1.0,2,16.0,3,0.0,40.7583923,29.3852797,3.35
110.0,2.0,2.0,2,11.0,5,0.0,40.7956379,29.4077745,2.52
90.0,2.0,2.0,1,5.0,4,1.0,40.7921818,29.436795,2.6
95.0,2.0,2.0,2,0.0,3,0.0,40.7064933,29.9827252,2.0
60.0,2.0,1.0,1,4.0,3,0.0,40.77521369999999,29.9364694,1.899
135.0,3.0,2.0,1,21.0,6,0.0,40.68921280000001,29.6180407,2.5
100.0,2.0,3.0,1,0.0,3,0.0,40.7365963,30.0231861,2.2
360.0,9.0,2.0,3,21.0,4,0.0,40.7613341,29.9364694,3.85
200.0,4.0,5.0,2,4.0,5,1.0,40.7749374,29.9089976,5.2
75.0,2.0,4.0,1,5.0,4,0.0,40.793316,29.9581538,2.35
150.0,3.0,3.0,2,5.0,5,1.0,40.7728552,29.8959827,3.99
130.0,3.0,3.0,1,0.0,3,0.0,40.7387377,30.0723009,2.35
130.0,3.0,1.0,1,21.0,3,0.0,40.6834256,29.5890568,2.7
120.0,3.0,2.0,1,21.0,5,0.0,40.7659429,29.7570809,2.5
58.0,1.0,2.0,1,5.0,3,0.0,40.77316889999999,29.9639357,1.575
110.0,2.0,4.0,1,21.0,5,0.0,40.7532944,29.8222085,1.25
100.0,3.0,4.0,1,11.0,4,0.0,40.7617966,29.3918108,3.0
100.0,3.0,4.0,1,21.0,5,0.0,40.7789789,29.8091854,2.09
60.0,1.0,2.0,1,0.0,3,0.0,40.7617966,29.3918108,2.14
75.0,2.0,3.0,1,0.0,3,0.0,40.7548512,30.0361888,2.25
80.0,2.0,2.0,1,21.0,6,0.0,40.7690192,29.9379151,2.2
110.0,2.0,4.0,1,21.0,4,0.0,40.8231961,29.3671362,1.75
90.0,2.0,3.0,1,0.0,3,0.0,40.7147344,29.9538172,2.0
125.0,3.0,2.0,1,11.0,3,0.0,40.7532944,29.8222085,2.66
170.0,4.0,2.0,2,0.0,3,1.0,40.7365963,30.0231861,7.3
90.0,3.0,2.0,3,3.0,5,1.0,40.6944072,29.9682719,3.6
100.0,3.0,4.0,1,21.0,4,1.0,40.7683026,29.9769441,2.91
135.0,3.0,3.0,1,0.0,3,0.0,40.7614938,29.7932666,3.0
140.0,3.0,2.0,2,0.0,3,0.0,40.7548512,30.0361888,2.65
145.0,3.0,2.0,2,0.0,3,1.0,40.7365963,30.0231861,6.3
90.0,2.0,2.0,1,11.0,3,0.0,40.7645032,29.8439109,1.999
140.0,3.0,2.0,2,5.0,3,1.0,40.7074291,29.9306863,2.42
120.0,3.0,1.0,1,21.0,6,0.0,40.7683026,29.9769441,3.75
85.0,2.0,1.0,1,0.0,3,0.0,40.7387377,30.0723009,2.27
120.0,3.0,4.0,1,16.0,4,1.0,40.7789789,29.8091854,2.66
120.0,3.0,3.0,2,0.0,3,0.0,40.7502682,29.7715563,3.1
30.0,3.0,4.0,1,4.0,6,1.0,40.7438656,30.0463012,1.465
250.0,5.0,2.0,2,5.0,3,1.0,40.795564,29.883291,8.2
110.0,3.0,2.0,1,0.0,3,0.0,40.6918869,29.9364694,3.3
80.0,2.0,3.0,1,3.0,3,1.0,40.7010052,29.8554841,2.59
124.0,3.0,2.0,2,0.0,9,1.0,40.795564,29.883291,4.09
90.0,2.0,1.0,1,5.0,3,0.0,40.7634588,29.85982379999999,2.65
150.0,3.0,2.0,1,2.0,3,0.0,40.7804258,29.9465892,3.2
75.0,2.0,2.0,2,1.0,5,0.0,40.8228769,29.3932622,2.55
105.0,2.0,3.0,1,0.0,4,0.0,40.7438656,30.0463012,2.3
299.0,1.0,2.0,0,21.0,3,0.0,40.7956379,29.4077745,8.25
50.0,1.0,2.0,1,3.0,1,0.0,41.00723199999999,29.975067,1.8
135.0,3.0,6.0,1,5.0,11,1.0,40.77521369999999,29.9364694,5.1
100.0,2.0,2.0,1,21.0,4,0.0,40.7659429,29.7570809,1.66
75.0,2.0,3.0,1,0.0,4,0.0,40.8361956,29.3787483,2.19
85.0,2.0,2.0,1,21.0,2,0.0,40.7502682,29.7715563,1.86
94.0,2.0,2.0,1,0.0,4,0.0,40.6944072,29.9682719,2.6
140.0,3.0,2.0,1,0.0,4,0.0,40.6944072,29.9682719,3.3
73.0,1.0,2.0,1,1.0,4,1.0,40.7365963,30.0231861,3.24
140.0,4.0,4.0,2,11.0,4,0.0,40.8361956,29.3787483,3.6
95.0,2.0,2.0,1,0.0,3,0.0,40.7812258,29.384554,2.645
85.0,2.0,2.0,1,5.0,4,0.0,40.8055082,29.4222855,2.8
85.0,1.0,2.0,1,0.0,3,0.0,40.7042886,29.8439109,3.65
750.0,7.0,2.0,6,11.0,4,0.0,40.7806769,29.3656846,69.5
85.0,2.0,2.0,1,5.0,4,0.0,40.8055082,29.4222855,2.4
230.0,6.0,1.0,2,5.0,4,1.0,40.770276,29.987535,3.5
85.0,2.0,4.0,1,11.0,4,0.0,40.8231961,29.3671362,2.55
120.0,3.0,2.0,1,0.0,4,0.0,40.6944072,29.9682719,3.1
85.0,2.0,2.0,1,5.0,10,1.0,40.7804258,29.9465892,1.975
200.0,4.0,3.0,2,5.0,3,0.0,40.7269758,29.9595993,4.25
120.0,3.0,2.0,2,0.0,3,1.0,40.7365963,30.0231861,4.25
115.0,3.0,2.0,1,16.0,2,1.0,40.7034787,29.8916441,8.3
100.0,2.0,2.0,1,0.0,3,0.0,40.7042886,29.8439109,4.3
95.0,2.0,2.0,1,2.0,3,0.0,40.778778,29.9523716,2.15
110.0,3.0,6.0,1,21.0,7,0.0,40.7683026,29.9769441,3.4
130.0,3.0,3.0,1,5.0,3,0.0,40.71265229999999,29.9408065,2.9
155.0,4.0,2.0,3,5.0,3,0.0,40.6953301,29.8713957,4.36
150.0,4.0,2.0,3,5.0,2,0.0,40.7110243,29.9017673,3.8
156.0,3.0,3.0,2,5.0,4,1.0,40.7269758,29.9595993,4.5
110.0,3.0,5.0,1,21.0,7,0.0,40.7685945,29.9079131,1.5
150.0,3.0,3.0,2,11.0,3,0.0,40.71265229999999,29.9408065,3.35
137.0,3.0,2.0,2,11.0,4,0.0,40.770276,29.987535,3.33
75.0,1.0,6.0,1,11.0,6,0.0,40.7438656,30.0463012,3.5
140.0,3.0,3.0,2,0.0,3,0.0,40.7365963,30.0231861,2.842
130.0,3.0,1.0,1,5.0,3,0.0,40.793316,29.9581538,2.4
125.0,3.0,2.0,1,16.0,3,0.0,40.6843433,29.9263488,1.98
52.0,3.0,4.0,1,4.0,6,0.0,40.7438656,30.0463012,1.9
90.0,2.0,2.0,1,0.0,4,0.0,40.7147344,29.9538172,3.25
84.0,2.0,2.0,1,11.0,3,0.0,40.71265229999999,29.9408065,2.35
75.0,2.0,2.0,1,1.0,4,0.0,40.793316,29.9581538,2.1
215.0,4.0,3.0,2,0.0,3,0.0,40.7617966,29.3918108,5.5
100.0,3.0,2.0,1,16.0,3,0.0,40.71265229999999,29.9408065,2.5
100.0,3.0,1.0,1,21.0,3,0.0,40.7675686,29.932855,1.8
95.0,2.0,2.0,1,0.0,3,0.0,40.7764794,29.3932622,3.0
160.0,3.0,2.0,3,1.0,4,1.0,40.7147344,29.9538172,6.35
90.0,2.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,2.35
77.0,2.0,6.0,1,5.0,9,1.0,40.7804258,29.9465892,2.275
105.0,2.0,2.0,1,4.0,4,0.0,40.7438656,30.0463012,2.8
165.0,3.0,2.0,2,0.0,3,0.0,40.7812258,29.384554,3.295
170.0,4.0,2.0,4,0.0,2,1.0,40.6944072,29.9682719,7.85
95.0,3.0,8.0,1,21.0,12,0.0,40.7734692,29.9892286,1.95
135.0,3.0,5.0,1,21.0,5,1.0,40.7659429,29.7570809,1.58
120.0,3.0,3.0,1,5.0,4,0.0,40.7042886,29.8439109,3.2
40.0,1.0,2.0,1,2.0,5,1.0,40.78845039999999,29.9711627,1.895
90.0,2.0,4.0,1,21.0,4,0.0,40.7653053,29.7961611,1.25
95.0,2.0,2.0,1,0.0,1,0.0,40.968414,30.151792,5.75
